COD_MUN;NOME_MUN;POP;REGIAO;TAM_MUN
1101484;São Felipe D'Oeste - RO;    5066;Norte;Ate 50 mil hab.
1101492;São Francisco do Guaporé - RO;   20681;Norte;Ate 50 mil hab.
1101500;Seringueiras - RO;   11851;Norte;Ate 50 mil hab.
1101559;Teixeirópolis - RO;    4233;Norte;Ate 50 mil hab.
1101609;Theobroma - RO;   10395;Norte;Ate 50 mil hab.
1101708;Urupá - RO;   11272;Norte;Ate 50 mil hab.
1101757;Vale do Anari - RO;   11377;Norte;Ate 50 mil hab.
1101807;Vale do Paraíso - RO;    6656;Norte;Ate 50 mil hab.
1200013;Acrelândia - AC;   15490;Norte;Ate 50 mil hab.
1200054;Assis Brasil - AC;    7534;Norte;Ate 50 mil hab.
1200104;Brasiléia - AC;   26702;Norte;Ate 50 mil hab.
1200138;Bujari - AC;   10420;Norte;Ate 50 mil hab.
1200179;Capixaba - AC;   12008;Norte;Ate 50 mil hab.
1200203;Cruzeiro do Sul - AC;   89072;Norte;De 50 mil a 200 mil hab.
1200252;Epitaciolândia - AC;   18696;Norte;Ate 50 mil hab.
1200302;Feijó - AC;   34884;Norte;Ate 50 mil hab.
1200328;Jordão - AC;    8473;Norte;Ate 50 mil hab.
1200336;Mâncio Lima - AC;   19311;Norte;Ate 50 mil hab.
1200344;Manoel Urbano - AC;    9581;Norte;Ate 50 mil hab.
1200351;Marechal Thaumaturgo - AC;   19299;Norte;Ate 50 mil hab.
1200385;Plácido de Castro - AC;   19955;Norte;Ate 50 mil hab.
1200393;Porto Walter - AC;   12241;Norte;Ate 50 mil hab.
1200401;Rio Branco - AC;  413418;Norte;De 200 mil a 500 mil hab.
1200427;Rodrigues Alves - AC;   19351;Norte;Ate 50 mil hab.
1200435;Santa Rosa do Purus - AC;    6717;Norte;Ate 50 mil hab.
1200450;Senador Guiomard - AC;   23236;Norte;Ate 50 mil hab.
1200500;Sena Madureira - AC;   46511;Norte;Ate 50 mil hab.
1200609;Tarauacá - AC;   43151;Norte;Ate 50 mil hab.
1200708;Xapuri - AC;   19596;Norte;Ate 50 mil hab.
1200807;Porto Acre - AC;   18824;Norte;Ate 50 mil hab.
1300029;Alvarães - AM;   16220;Norte;Ate 50 mil hab.
1300060;Amaturá - AM;   11736;Norte;Ate 50 mil hab.
1300086;Anamã - AM;   13956;Norte;Ate 50 mil hab.
1300102;Anori - AM;   21477;Norte;Ate 50 mil hab.
1300144;Apuí - AM;   22359;Norte;Ate 50 mil hab.
1300201;Atalaia do Norte - AM;   20398;Norte;Ate 50 mil hab.
1300300;Autazes - AM;   40290;Norte;Ate 50 mil hab.
1300409;Barcelos - AM;   27638;Norte;Ate 50 mil hab.
1300508;Barreirinha - AM;   32483;Norte;Ate 50 mil hab.
1300607;Benjamin Constant - AM;   43935;Norte;Ate 50 mil hab.
1300631;Beruri - AM;   20093;Norte;Ate 50 mil hab.
1300680;Boa Vista do Ramos - AM;   19626;Norte;Ate 50 mil hab.
1300706;Boca do Acre - AM;   34635;Norte;Ate 50 mil hab.
1300805;Borba - AM;   41748;Norte;Ate 50 mil hab.
1300839;Caapiranga - AM;   13283;Norte;Ate 50 mil hab.
1300904;Canutama - AM;   15807;Norte;Ate 50 mil hab.
1301001;Carauari - AM;   28508;Norte;Ate 50 mil hab.
1301100;Careiro - AM;   38348;Norte;Ate 50 mil hab.
1301159;Careiro da Várzea - AM;   30846;Norte;Ate 50 mil hab.
1301209;Coari - AM;   85910;Norte;De 50 mil a 200 mil hab.
1301308;Codajás - AM;   29168;Norte;Ate 50 mil hab.
1301407;Eirunepé - AM;   35700;Norte;Ate 50 mil hab.
1301506;Envira - AM;   20393;Norte;Ate 50 mil hab.
1301605;Fonte Boa - AM;   17005;Norte;Ate 50 mil hab.
1301654;Guajará - AM;   16937;Norte;Ate 50 mil hab.
1301704;Humaitá - AM;   56144;Norte;De 50 mil a 200 mil hab.
1301803;Ipixuna - AM;   30436;Norte;Ate 50 mil hab.
1301852;Iranduba - AM;   49011;Norte;Ate 50 mil hab.
1301902;Itacoatiara - AM;  102701;Norte;De 50 mil a 200 mil hab.
1301951;Itamarati - AM;    7814;Norte;Ate 50 mil hab.
1302009;Itapiranga - AM;    9230;Norte;Ate 50 mil hab.
1302108;Japurá - AM;    2251;Norte;Ate 50 mil hab.
1302207;Juruá - AM;   15106;Norte;Ate 50 mil hab.
1302306;Jutaí - AM;   13886;Norte;Ate 50 mil hab.
1302405;Lábrea - AM;   46882;Norte;Ate 50 mil hab.
1302504;Manacapuru - AM;   98502;Norte;De 50 mil a 200 mil hab.
1302553;Manaquiri - AM;   33049;Norte;Ate 50 mil hab.
1302603;Manaus - AM; 2219580;Norte;Acima de 500 mil hab.
1302702;Manicoré - AM;   56583;Norte;De 50 mil a 200 mil hab.
1302801;Maraã - AM;   18261;Norte;Ate 50 mil hab.
1302900;Maués - AM;   65040;Norte;De 50 mil a 200 mil hab.
1303007;Nhamundá - AM;   21443;Norte;Ate 50 mil hab.
1303106;Nova Olinda do Norte - AM;   38026;Norte;Ate 50 mil hab.
1303205;Novo Airão - AM;   19928;Norte;Ate 50 mil hab.
1303304;Novo Aripuanã - AM;   26046;Norte;Ate 50 mil hab.
1303403;Parintins - AM;  115363;Norte;De 50 mil a 200 mil hab.
1303502;Pauini - AM;   19522;Norte;Ate 50 mil hab.
1303536;Presidente Figueiredo - AM;   37193;Norte;Ate 50 mil hab.
1303569;Rio Preto da Eva - AM;   34106;Norte;Ate 50 mil hab.
1303601;Santa Isabel do Rio Negro - AM;   25865;Norte;Ate 50 mil hab.
1303700;Santo Antônio do Içá - AM;   21243;Norte;Ate 50 mil hab.
1303809;São Gabriel da Cachoeira - AM;   46303;Norte;Ate 50 mil hab.
1303908;São Paulo de Olivença - AM;   40073;Norte;Ate 50 mil hab.
1303957;São Sebastião do Uatumã - AM;   14352;Norte;Ate 50 mil hab.
1304005;Silves - AM;    9230;Norte;Ate 50 mil hab.
1304062;Tabatinga - AM;   67182;Norte;De 50 mil a 200 mil hab.
1304104;Tapauá - AM;   17015;Norte;Ate 50 mil hab.
1304203;Tefé - AM;   59547;Norte;De 50 mil a 200 mil hab.
1304237;Tonantins - AM;   18897;Norte;Ate 50 mil hab.
1304260;Uarini - AM;   13690;Norte;Ate 50 mil hab.
1304302;Urucará - AM;   16130;Norte;Ate 50 mil hab.
1304401;Urucurituba - AM;   23585;Norte;Ate 50 mil hab.
1400027;Amajari - RR;   13185;Norte;Ate 50 mil hab.
1400050;Alto Alegre - RR;   15380;Norte;Ate 50 mil hab.
1400100;Boa Vista - RR;  419652;Norte;De 200 mil a 500 mil hab.
1400159;Bonfim - RR;   12557;Norte;Ate 50 mil hab.
1400175;Cantá - RR;   18799;Norte;Ate 50 mil hab.
1400209;Caracaraí - RR;   22283;Norte;Ate 50 mil hab.
1400233;Caroebe - RR;   10383;Norte;Ate 50 mil hab.
1400282;Iracema - RR;   12296;Norte;Ate 50 mil hab.
1400308;Mucajaí - RR;   18172;Norte;Ate 50 mil hab.
1400407;Normandia - RR;   11532;Norte;Ate 50 mil hab.
1400456;Pacaraima - RR;   18913;Norte;Ate 50 mil hab.
1400472;Rorainópolis - RR;   30782;Norte;Ate 50 mil hab.
1400506;São João da Baliza - RR;    8348;Norte;Ate 50 mil hab.
1400605;São Luiz - RR;    8110;Norte;Ate 50 mil hab.
1400704;Uiramutã - RR;   10789;Norte;Ate 50 mil hab.
1500107;Abaetetuba - PA;  159080;Norte;De 50 mil a 200 mil hab.
1500131;Abel Figueiredo - PA;    7486;Norte;Ate 50 mil hab.
1500206;Acará - PA;   55669;Norte;De 50 mil a 200 mil hab.
1500305;Afuá - PA;   39567;Norte;Ate 50 mil hab.
1500347;Água Azul do Norte - PA;   27615;Norte;Ate 50 mil hab.
1500404;Alenquer - PA;   57092;Norte;De 50 mil a 200 mil hab.
1500503;Almeirim - PA;   34076;Norte;Ate 50 mil hab.
1500602;Altamira - PA;  115969;Norte;De 50 mil a 200 mil hab.
1500701;Anajás - PA;   29688;Norte;Ate 50 mil hab.
1500800;Ananindeua - PA;  535547;Norte;Acima de 500 mil hab.
1500859;Anapu - PA;   28607;Norte;Ate 50 mil hab.
1500909;Augusto Corrêa - PA;   46471;Norte;Ate 50 mil hab.
1500958;Aurora do Pará - PA;   31773;Norte;Ate 50 mil hab.
1501006;Aveiro - PA;   16404;Norte;Ate 50 mil hab.
1501105;Bagre - PA;   31325;Norte;Ate 50 mil hab.
1501204;Baião - PA;   48459;Norte;Ate 50 mil hab.
1501253;Bannach - PA;    3262;Norte;Ate 50 mil hab.
1501303;Barcarena - PA;  127027;Norte;De 50 mil a 200 mil hab.
1501402;Belém - PA; 1499641;Norte;Acima de 500 mil hab.
1501451;Belterra - PA;   17839;Norte;Ate 50 mil hab.
1501501;Benevides - PA;   63768;Norte;De 50 mil a 200 mil hab.
1501576;Bom Jesus do Tocantins - PA;   17118;Norte;Ate 50 mil hab.
1501600;Bonito - PA;   16530;Norte;Ate 50 mil hab.
1501709;Bragança - PA;  128914;Norte;De 50 mil a 200 mil hab.
1501725;Brasil Novo - PA;   14983;Norte;Ate 50 mil hab.
1501758;Brejo Grande do Araguaia - PA;    7368;Norte;Ate 50 mil hab.
1501782;Breu Branco - PA;   67332;Norte;De 50 mil a 200 mil hab.
1501808;Breves - PA;  103497;Norte;De 50 mil a 200 mil hab.
1501907;Bujaru - PA;   29427;Norte;Ate 50 mil hab.
1501956;Cachoeira do Piriá - PA;   34609;Norte;Ate 50 mil hab.
1502004;Cachoeira do Arari - PA;   24064;Norte;Ate 50 mil hab.
1502103;Cametá - PA;  139364;Norte;De 50 mil a 200 mil hab.
1502152;Canaã dos Carajás - PA;   38103;Norte;Ate 50 mil hab.
1502202;Capanema - PA;   69431;Norte;De 50 mil a 200 mil hab.
1502301;Capitão Poço - PA;   54425;Norte;De 50 mil a 200 mil hab.
1502400;Castanhal - PA;  203251;Norte;De 200 mil a 500 mil hab.
1502509;Chaves - PA;   23948;Norte;Ate 50 mil hab.
1502608;Colares - PA;   12131;Norte;Ate 50 mil hab.
1502707;Conceição do Araguaia - PA;   47991;Norte;Ate 50 mil hab.
1502756;Concórdia do Pará - PA;   33781;Norte;Ate 50 mil hab.
1502764;Cumaru do Norte - PA;   13761;Norte;Ate 50 mil hab.
1502772;Curionópolis - PA;   17846;Norte;Ate 50 mil hab.
1502806;Curralinho - PA;   34994;Norte;Ate 50 mil hab.
1502855;Curuá - PA;   14587;Norte;Ate 50 mil hab.
1502905;Curuçá - PA;   40584;Norte;Ate 50 mil hab.
1502939;Dom Eliseu - PA;   60469;Norte;De 50 mil a 200 mil hab.
1502954;Eldorado do Carajás - PA;   33940;Norte;Ate 50 mil hab.
1503002;Faro - PA;    7070;Norte;Ate 50 mil hab.
1503044;Floresta do Araguaia - PA;   20525;Norte;Ate 50 mil hab.
1503077;Garrafão do Norte - PA;   26111;Norte;Ate 50 mil hab.
1503093;Goianésia do Pará - PA;   41081;Norte;Ate 50 mil hab.
1503101;Gurupá - PA;   33755;Norte;Ate 50 mil hab.
1503200;Igarapé-Açu - PA;   39023;Norte;Ate 50 mil hab.
1503309;Igarapé-Miri - PA;   63036;Norte;De 50 mil a 200 mil hab.
1503408;Inhangapi - PA;   11861;Norte;Ate 50 mil hab.
1503457;Ipixuna do Pará - PA;   65625;Norte;De 50 mil a 200 mil hab.
1503507;Irituia - PA;   32595;Norte;Ate 50 mil hab.
1503606;Itaituba - PA;  101395;Norte;De 50 mil a 200 mil hab.
1503705;Itupiranga - PA;   53355;Norte;De 50 mil a 200 mil hab.
1503754;Jacareacanga - PA;    7590;Norte;Ate 50 mil hab.
1503804;Jacundá - PA;   59842;Norte;De 50 mil a 200 mil hab.
1503903;Juruti - PA;   58960;Norte;De 50 mil a 200 mil hab.
1504000;Limoeiro do Ajuru - PA;   29282;Norte;Ate 50 mil hab.
1504059;Mãe do Rio - PA;   30235;Norte;Ate 50 mil hab.
1504109;Magalhães Barata - PA;    8573;Norte;Ate 50 mil hab.
1504208;Marabá - PA;  283542;Norte;De 200 mil a 500 mil hab.
1504307;Maracanã - PA;   29516;Norte;Ate 50 mil hab.
1504406;Marapanim - PA;   28450;Norte;Ate 50 mil hab.
1504422;Marituba - PA;  133685;Norte;De 50 mil a 200 mil hab.
1504455;Medicilândia - PA;   31975;Norte;Ate 50 mil hab.
1504505;Melgaço - PA;   27890;Norte;Ate 50 mil hab.
1504604;Mocajuba - PA;   31530;Norte;Ate 50 mil hab.
1504703;Moju - PA;   83182;Norte;De 50 mil a 200 mil hab.
1504752;Mojuí dos Campos - PA;   16184;Norte;Ate 50 mil hab.
1504802;Monte Alegre - PA;   58162;Norte;De 50 mil a 200 mil hab.
1504901;Muaná - PA;   40906;Norte;Ate 50 mil hab.
1504950;Nova Esperança do Piriá - PA;   21444;Norte;Ate 50 mil hab.
1504976;Nova Ipixuna - PA;   16854;Norte;Ate 50 mil hab.
1505007;Nova Timboteua - PA;   15506;Norte;Ate 50 mil hab.
1505031;Novo Progresso - PA;   25766;Norte;Ate 50 mil hab.
1505064;Novo Repartimento - PA;   77214;Norte;De 50 mil a 200 mil hab.
1505106;Óbidos - PA;   52306;Norte;De 50 mil a 200 mil hab.
1505205;Oeiras do Pará - PA;   32850;Norte;Ate 50 mil hab.
1505304;Oriximiná - PA;   74016;Norte;De 50 mil a 200 mil hab.
1505403;Ourém - PA;   17961;Norte;Ate 50 mil hab.
1505437;Ourilândia do Norte - PA;   33335;Norte;Ate 50 mil hab.
1505486;Pacajá - PA;   48414;Norte;Ate 50 mil hab.
1505494;Palestina do Pará - PA;    7582;Norte;Ate 50 mil hab.
1505502;Paragominas - PA;  114503;Norte;De 50 mil a 200 mil hab.
1505536;Parauapebas - PA;  213576;Norte;De 200 mil a 500 mil hab.
1505551;Pau D'Arco - PA;    5410;Norte;Ate 50 mil hab.
1505601;Peixe-Boi - PA;    8081;Norte;Ate 50 mil hab.
1505635;Piçarra - PA;   12979;Norte;Ate 50 mil hab.
1505650;Placas - PA;   31659;Norte;Ate 50 mil hab.
1505700;Ponta de Pedras - PA;   31549;Norte;Ate 50 mil hab.
1505809;Portel - PA;   62945;Norte;De 50 mil a 200 mil hab.
1505908;Porto de Moz - PA;   41801;Norte;Ate 50 mil hab.
1506005;Prainha - PA;   29846;Norte;Ate 50 mil hab.
1506104;Primavera - PA;   10857;Norte;Ate 50 mil hab.
1506112;Quatipuru - PA;   13702;Norte;Ate 50 mil hab.
1506138;Redenção - PA;   85563;Norte;De 50 mil a 200 mil hab.
1506161;Rio Maria - PA;   18201;Norte;Ate 50 mil hab.
1506187;Rondon do Pará - PA;   52803;Norte;De 50 mil a 200 mil hab.
1506195;Rurópolis - PA;   51500;Norte;De 50 mil a 200 mil hab.
1506203;Salinópolis - PA;   40922;Norte;Ate 50 mil hab.
1506302;Salvaterra - PA;   24075;Norte;Ate 50 mil hab.
1506351;Santa Bárbara do Pará - PA;   21449;Norte;Ate 50 mil hab.
1506401;Santa Cruz do Arari - PA;   10314;Norte;Ate 50 mil hab.
1506500;Santa Izabel do Pará - PA;   71837;Norte;De 50 mil a 200 mil hab.
1506559;Santa Luzia do Pará - PA;   19843;Norte;Ate 50 mil hab.
1506583;Santa Maria das Barreiras - PA;   21850;Norte;Ate 50 mil hab.
1506609;Santa Maria do Pará - PA;   24995;Norte;Ate 50 mil hab.
1506708;Santana do Araguaia - PA;   74419;Norte;De 50 mil a 200 mil hab.
1506807;Santarém - PA;  306480;Norte;De 200 mil a 500 mil hab.
1506906;Santarém Novo - PA;    6753;Norte;Ate 50 mil hab.
1507003;Santo Antônio do Tauá - PA;   31918;Norte;Ate 50 mil hab.
1507102;São Caetano de Odivelas - PA;   18129;Norte;Ate 50 mil hab.
1507151;São Domingos do Araguaia - PA;   25753;Norte;Ate 50 mil hab.
1507201;São Domingos do Capim - PA;   32139;Norte;Ate 50 mil hab.
1507300;São Félix do Xingu - PA;  132138;Norte;De 50 mil a 200 mil hab.
1507409;São Francisco do Pará - PA;   15930;Norte;Ate 50 mil hab.
1507458;São Geraldo do Araguaia - PA;   24705;Norte;Ate 50 mil hab.
1507466;São João da Ponta - PA;    6217;Norte;Ate 50 mil hab.
1507474;São João de Pirabas - PA;   23244;Norte;Ate 50 mil hab.
1507508;São João do Araguaia - PA;   14051;Norte;Ate 50 mil hab.
1507607;São Miguel do Guamá - PA;   59632;Norte;De 50 mil a 200 mil hab.
1507706;São Sebastião da Boa Vista - PA;   26974;Norte;Ate 50 mil hab.
1507755;Sapucaia - PA;    6009;Norte;Ate 50 mil hab.
1507805;Senador José Porfírio - PA;   11480;Norte;Ate 50 mil hab.
1507904;Soure - PA;   25565;Norte;Ate 50 mil hab.
1507953;Tailândia - PA;  108969;Norte;De 50 mil a 200 mil hab.
1507961;Terra Alta - PA;   11847;Norte;Ate 50 mil hab.
1507979;Terra Santa - PA;   18917;Norte;Ate 50 mil hab.
1508001;Tomé-Açu - PA;   64030;Norte;De 50 mil a 200 mil hab.
1508035;Tracuateua - PA;   31257;Norte;Ate 50 mil hab.
1508050;Trairão - PA;   19168;Norte;Ate 50 mil hab.
1508084;Tucumã - PA;   40136;Norte;Ate 50 mil hab.
1508100;Tucuruí - PA;  115144;Norte;De 50 mil a 200 mil hab.
1508126;Ulianópolis - PA;   60761;Norte;De 50 mil a 200 mil hab.
1508159;Uruará - PA;   45435;Norte;Ate 50 mil hab.
1508209;Vigia - PA;   54172;Norte;De 50 mil a 200 mil hab.
1508308;Viseu - PA;   61751;Norte;De 50 mil a 200 mil hab.
1508357;Vitória do Xingu - PA;   15279;Norte;Ate 50 mil hab.
1508407;Xinguara - PA;   45086;Norte;Ate 50 mil hab.
1600055;Serra do Navio - AP;    5488;Norte;Ate 50 mil hab.
1600105;Amapá - AP;    9187;Norte;Ate 50 mil hab.
1600154;Pedra Branca do Amapari - AP;   17067;Norte;Ate 50 mil hab.
1600204;Calçoene - AP;   11306;Norte;Ate 50 mil hab.
1600212;Cutias - AP;    6101;Norte;Ate 50 mil hab.
1600238;Ferreira Gomes - AP;    7967;Norte;Ate 50 mil hab.
1600253;Itaubal - AP;    5617;Norte;Ate 50 mil hab.
1600279;Laranjal do Jari - AP;   51362;Norte;De 50 mil a 200 mil hab.
1600303;Macapá - AP;  512902;Norte;Acima de 500 mil hab.
1600402;Mazagão - AP;   22053;Norte;Ate 50 mil hab.
1600501;Oiapoque - AP;   27906;Norte;Ate 50 mil hab.
1600535;Porto Grande - AP;   22452;Norte;Ate 50 mil hab.
1600550;Pracuúba - AP;    5246;Norte;Ate 50 mil hab.
1600600;Santana - AP;  123096;Norte;De 50 mil a 200 mil hab.
1600709;Tartarugalzinho - AP;   17769;Norte;Ate 50 mil hab.
1600808;Vitória do Jari - AP;   16254;Norte;Ate 50 mil hab.
1700251;Abreulândia - TO;    2594;Norte;Ate 50 mil hab.
1700301;Aguiarnópolis - TO;    6892;Norte;Ate 50 mil hab.
1700350;Aliança do Tocantins - TO;    5346;Norte;Ate 50 mil hab.
1700400;Almas - TO;    6979;Norte;Ate 50 mil hab.
1700707;Alvorada - TO;    8396;Norte;Ate 50 mil hab.
1701002;Ananás - TO;    9492;Norte;Ate 50 mil hab.
1701051;Angico - TO;    3454;Norte;Ate 50 mil hab.
1701101;Aparecida do Rio Negro - TO;    4848;Norte;Ate 50 mil hab.
1701309;Aragominas - TO;    5731;Norte;Ate 50 mil hab.
1701903;Araguacema - TO;    7155;Norte;Ate 50 mil hab.
1702000;Araguaçu - TO;    8467;Norte;Ate 50 mil hab.
1702109;Araguaína - TO;  183381;Norte;De 50 mil a 200 mil hab.
1702158;Araguanã - TO;    5793;Norte;Ate 50 mil hab.
1702208;Araguatins - TO;   36170;Norte;Ate 50 mil hab.
1702307;Arapoema - TO;    6616;Norte;Ate 50 mil hab.
1702406;Arraias - TO;   10534;Norte;Ate 50 mil hab.
1702554;Augustinópolis - TO;   18643;Norte;Ate 50 mil hab.
1702703;Aurora do Tocantins - TO;    3783;Norte;Ate 50 mil hab.
1702901;Axixá do Tocantins - TO;    9787;Norte;Ate 50 mil hab.
1703008;Babaçulândia - TO;   10666;Norte;Ate 50 mil hab.
1703057;Bandeirantes do Tocantins - TO;    3592;Norte;Ate 50 mil hab.
1703073;Barra do Ouro - TO;    4632;Norte;Ate 50 mil hab.
1703107;Barrolândia - TO;    5651;Norte;Ate 50 mil hab.
1703206;Bernardo Sayão - TO;    4448;Norte;Ate 50 mil hab.
1703305;Bom Jesus do Tocantins - TO;    5008;Norte;Ate 50 mil hab.
1703602;Brasilândia do Tocantins - TO;    2211;Norte;Ate 50 mil hab.
1703701;Brejinho de Nazaré - TO;    5519;Norte;Ate 50 mil hab.
1703800;Buriti do Tocantins - TO;   11497;Norte;Ate 50 mil hab.
1703826;Cachoeirinha - TO;    2284;Norte;Ate 50 mil hab.
1703842;Campos Lindos - TO;   10312;Norte;Ate 50 mil hab.
1703867;Cariri do Tocantins - TO;    4441;Norte;Ate 50 mil hab.
1703883;Carmolândia - TO;    2603;Norte;Ate 50 mil hab.
1703891;Carrasco Bonito - TO;    4130;Norte;Ate 50 mil hab.
1703909;Caseara - TO;    5442;Norte;Ate 50 mil hab.
1704105;Centenário - TO;    2936;Norte;Ate 50 mil hab.
1704600;Chapada de Areia - TO;    1410;Norte;Ate 50 mil hab.
1705102;Chapada da Natividade - TO;    3331;Norte;Ate 50 mil hab.
1705508;Colinas do Tocantins - TO;   35851;Norte;Ate 50 mil hab.
1705557;Combinado - TO;    4861;Norte;Ate 50 mil hab.
1705607;Conceição do Tocantins - TO;    4087;Norte;Ate 50 mil hab.
1706001;Couto Magalhães - TO;    5639;Norte;Ate 50 mil hab.
1706100;Cristalândia - TO;    7278;Norte;Ate 50 mil hab.
1706258;Crixás do Tocantins - TO;    1735;Norte;Ate 50 mil hab.
1706506;Darcinópolis - TO;    6174;Norte;Ate 50 mil hab.
1707009;Dianópolis - TO;   22424;Norte;Ate 50 mil hab.
1707108;Divinópolis do Tocantins - TO;    6943;Norte;Ate 50 mil hab.
1707207;Dois Irmãos do Tocantins - TO;    7185;Norte;Ate 50 mil hab.
1707306;Dueré - TO;    4686;Norte;Ate 50 mil hab.
1707405;Esperantina - TO;   11139;Norte;Ate 50 mil hab.
1707553;Fátima - TO;    3830;Norte;Ate 50 mil hab.
1707652;Figueirópolis - TO;    5243;Norte;Ate 50 mil hab.
1707702;Filadélfia - TO;    8874;Norte;Ate 50 mil hab.
1708205;Formoso do Araguaia - TO;   18399;Norte;Ate 50 mil hab.
1708254;Fortaleza do Tabocão - TO;    2602;Norte;Ate 50 mil hab.
1708304;Goianorte - TO;    5130;Norte;Ate 50 mil hab.
1709005;Goiatins - TO;   13095;Norte;Ate 50 mil hab.
1709302;Guaraí - TO;   26165;Norte;Ate 50 mil hab.
1709500;Gurupi - TO;   87545;Norte;De 50 mil a 200 mil hab.
1709807;Ipueiras - TO;    2052;Norte;Ate 50 mil hab.
1710508;Itacajá - TO;    7452;Norte;Ate 50 mil hab.
1710706;Itaguatins - TO;    5832;Norte;Ate 50 mil hab.
1710904;Itapiratins - TO;    3795;Norte;Ate 50 mil hab.
1711100;Itaporã do Tocantins - TO;    2420;Norte;Ate 50 mil hab.
1711506;Jaú do Tocantins - TO;    3878;Norte;Ate 50 mil hab.
1711803;Juarina - TO;    2184;Norte;Ate 50 mil hab.
1711902;Lagoa da Confusão - TO;   13676;Norte;Ate 50 mil hab.
1711951;Lagoa do Tocantins - TO;    4393;Norte;Ate 50 mil hab.
1712009;Lajeado - TO;    3167;Norte;Ate 50 mil hab.
1712157;Lavandeira - TO;    1954;Norte;Ate 50 mil hab.
1712405;Lizarda - TO;    3733;Norte;Ate 50 mil hab.
1712454;Luzinópolis - TO;    3154;Norte;Ate 50 mil hab.
1712504;Marianópolis do Tocantins - TO;    5254;Norte;Ate 50 mil hab.
1712702;Mateiros - TO;    2729;Norte;Ate 50 mil hab.
1712801;Maurilândia do Tocantins - TO;    3448;Norte;Ate 50 mil hab.
1713205;Miracema do Tocantins - TO;   17936;Norte;Ate 50 mil hab.
1713304;Miranorte - TO;   13493;Norte;Ate 50 mil hab.
1713601;Monte do Carmo - TO;    8066;Norte;Ate 50 mil hab.
1713700;Monte Santo do Tocantins - TO;    2295;Norte;Ate 50 mil hab.
1713809;Palmeiras do Tocantins - TO;    6745;Norte;Ate 50 mil hab.
1713957;Muricilândia - TO;    3587;Norte;Ate 50 mil hab.
